stove_details_name,details_manu,details_web,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,stove_feed_min,stove_feed_max,stove_feed_average,stove_price_min,stove_price_max,stove_price_average,iso_co_sd_min,iso_co_sd_max,iso_co_sd_average,iso_pm_sd_min,iso_pm_sd_max,iso_pm_sd_average,iso_eff_char_sd_min,iso_eff_char_sd_max,iso_eff_char_sd_average,iwa_co_sd_min,iwa_co_sd_max,iwa_co_sd_average,iwa_pm_sd_min,iwa_pm_sd_max,iwa_pm_sd_average,iwa_co_low_sd_min,iwa_co_low_sd_max,iwa_co_low_sd_average,iwa_pm_low_sd_min,iwa_pm_low_sd_max,iwa_pm_low_sd_average,iwa_eff_sd_min,iwa_eff_sd_max,iwa_eff_sd_average
Side Feed Fan Stove,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,4.0,,,,3.0,3.0,Flat bottom,10.0,5.0-15.0,Any food that can be cooked in a pot at low or high power.,20.0-20.0,480.0/260.0/350.0,6.6,,,,0,,,,,0,,,,,0,,,1.8,1.8 - 1.8,1,2014.0,Wood,47.2,47.2 - 47.2,1,2014.0,Wood,0.0,0 - 0,1,2014.0,Wood,0.5,0.5 - 0.5,1,2014.0,Wood,47.1,47.1 - 47.1,1,2014.0,Wood,5.0,15.0,10.0,20.0,20.0,20.0,,,,,,,,,,1.8,1.8,1.8,47.2,47.2,47.2,0.0,0.0,0.0,0.5,0.5,0.5,47.1,47.1,47.1
jikokoa,Burn Manufacturing,http://www.burnmanufacturing.com/,4.0,3.0,,,1.0,2.0,Both,7.0,1.0-10.0,"Ugali, Rice, Githeri, Vegetables, Chapatti, Lentils, Beans, Tea etc.",40,295.0/350.0/240.0,3.1,,,,0,,,,,0,,,,,0,,,12.8,12.5 - 13,2,2014.0,Charcoal,45.2,45 - 45.4,2,2014.0,Charcoal,0.0,0 - 0,2,2014.0,Charcoal,0.5,0.5 - 0.5,2,2014.0,Charcoal,44.0,43 - 45,2,2014.0,Charcoal,1.0,10.0,5.5,40.0,,40.0,,,,,,,,,,12.5,13.0,12.75,45.0,45.4,45.2,0.0,0.0,0.0,0.5,0.5,0.5,43.0,45.0,44.0
SaverPro 100 (Envirofit EFI-100L),Envirofit International,http://www.envirofit.org/,4.0,,,,,5.0,,100.0,,,,1000.0/1000.0/900.0,45.0,,,,0,,,,,0,,,,,0,,,2.0,02-feb,1,2014.0,Wood,496.2,496.2 - 496.2,1,2014.0,Wood,0.0,0 - 0,1,2014.0,Wood,0.5,0.5 - 0.5,1,2014.0,Wood,45.7,45.7 - 45.7,1,2014.0,Wood,,,,,,,,,,,,,,,,2.0,,2.0,496.2,496.2,496.2,0.0,0.0,0.0,0.5,0.5,0.5,45.7,45.7,45.7
"SAFI Cooker, Double Burner",Safi International AS,http://www.safi-international.com,4.0,3.0,,,,5.0,Both,15.0,1.0-10.0,All types of food made at home,30.0-80.0,700.0/310.0/155.0,5.65,Pop rivet tool,,,0,,,,,0,,,,,0,,,2.4,2.4 - 2.4,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,,,0,,,64.2,64.2 - 64.2,1,2015.0,Ethanol/alcohol,1.0,10.0,5.5,30.0,80.0,55.0,,,,,,,,,,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,64.2,64.2,64.2
"Safi Cooker, Single Burner",Safi International AS,http://www.safi-international.com,4.0,3.0,,,,5.0,Both,15.0,1.0-8.0,All types of food made at home,25.0-40.0,409.0/310.0/155.0,3.1,Pop rivet tool,,,0,,,,,0,,,,,0,,,2.4,2.4 - 2.4,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,,,0,,,64.2,64.2 - 64.2,1,2015.0,Ethanol/alcohol,1.0,8.0,4.5,25.0,40.0,32.5,,,,,,,,,,2.4,2.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,64.2,64.2,64.2
Moto Safi,Consumer's Choice Limited,http://www.consumerschoice.kbo.co.ke,4.0,,,,,6.0,Flat bottom,5.0,1.0-5.0,all types of food cooked on flat bottomed pot.,18.5-29.0,,,,,,0,,,,,0,,,,,0,,,6.4,6.4 - 6.4,1,2013.0,Ethanol/alcohol,,,0,,,0.1,0.1 - 0.1,1,2013.0,Ethanol/alcohol,,,0,,,51.5,51.5 - 51.5,1,2013.0,Ethanol/alcohol,1.0,5.0,3.0,18.5,29.0,23.75,,,,,,,,,,6.4,6.4,6.4,,,,0.1,0.1,0.1,,,,51.5,51.5,51.5
KIKE Green Cook KD1,SMEFunds,http://smefunds.com/,3.0,,,,4.0,10.0,Both,8.0,5.0-10.0,"Rice, beans, Garri, Soup, Yam, Maize etc",15.0-28.0,275.0/275.0/100.0,1.2,A complete manufacturing line,,,0,,,,,0,,,,,0,,,4.8,4.8 - 4.8,1,2015.0,Ethanol/alcohol,10.0,10-oct,1,2015.0,Ethanol/alcohol,0.0,0 - 0,1,2015.0,Ethanol/alcohol,0.1,0.1 - 0.1,1,2015.0,Ethanol/alcohol,43.0,43 - 43,1,2015.0,Ethanol/alcohol,5.0,10.0,7.5,15.0,28.0,21.5,,,,,,,,,,4.8,4.8,4.8,10.0,,10.0,0.0,0.0,0.0,0.1,0.1,0.1,43.0,43.0,43.0
ACE 1,African Clean Energy,http://www.africancleanenergy.com/,3.0,4.0,,,3.0,12.0,Both,70.0,,"In Africa it is the maizemeal porridge which in Lesotho is called Papa. In Asia, people cook rice and vegetables on it, or various stews. We've also discovered that with a clever grill or griddle top it is also very handy at preparing meat and fish.",,330.0/330.0/350.0,4.6,"We offer a flatpack shipping option, which means the stoves can be sent in parts, saving substantially on logistics costs. The first shipment can come with the tools necessary to finish assembly, supporting the set up of local production lines.",,,0,,,,,0,,,,,0,,,0.8,0.8 - 0.8,1,2015.0,Other,101.1,101.1 - 101.1,1,2015.0,Other,0.0,0 - 0,1,2015.0,Other,0.8,0.8 - 0.8,1,2015.0,Other,41.5,41.5 - 41.5,1,2015.0,Other,,,,,,,,,,,,,,,,0.8,0.8,0.8,101.1,101.1,101.1,0.0,0.0,0.0,0.8,0.8,0.8,41.5,41.5,41.5
LPG/NG 2B SS gas stove,Delher (Estufas Delgado Hermanos S.A. de C.V),http://www.delher.com/,3.0,4.0,,,3.0,7.0,Both,20.0,1.0-10.0,all food,26.99-29.99,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,10.0,5.5,26.99,29.99,28.49,,,,,,,,,,,,,,,,,,,,,,,,
LPG/NG 4B SS,Delher (Estufas Delgado Hermanos S.A. de C.V),http://www.delher.com/,3.0,4.0,,,3.0,7.0,Both,40.0,1.0-10.0,all food,53.99-59.99,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,10.0,5.5,53.99,59.99,56.99,,,,,,,,,,,,,,,,,,,,,,,,
Jikokoa Xtra,Burn Manufacturing,http://www.burnmanufacturing.com/,3.0,,,,1.0,3.0,Both,10.0,1.0-20.0,"Ugali, Rice, Githeri, Vegetables, Chapati, Lentils, Beans, Tea etc.",40.0-50.0,302.0/nan/270.0,5.0,,,,0,,,,,0,,,,,0,,,11.2,11.2 - 11.2,1,2019.0,Charcoal,31.6,31.6 - 31.6,1,2019.0,Charcoal,0.1,0.1 - 0.1,1,2019.0,Charcoal,0.5,0.5 - 0.5,1,2019.0,Charcoal,44.2,44.2 - 44.2,1,2019.0,Charcoal,1.0,20.0,10.5,40.0,50.0,45.0,,,,,,,,,,11.2,11.2,11.2,31.6,31.6,31.6,0.1,0.1,0.1,0.5,0.5,0.5,44.2,44.2,44.2
StoveTec Charcoal Prototype,StoveTec,http://stovetecstore.net/,3.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,16.7,15.7 - 17.7,2,2012.0,Charcoal,458.5,415 - 502,2,2012.0,Charcoal,0.1,0.1 - 0.1,2,2012.0,Charcoal,1.4,1.3 - 1.4,2,2012.0,Charcoal,33.4,30.7 - 36.1,2,2012.0,Charcoal,,,,,,,,,,,,,,,,15.7,17.7,16.7,415.0,502.0,458.5,0.1,0.1,0.1,1.3,1.4,1.35,30.7,36.1,33.4
Canamake Ivuguruye,AJDR Cooperative,,3.0,,,,0.0,4.0,Round bottom,15.0,1.0-15.0,"Beans, potatoes, rice, vegetables, meat, etc.",5.7-6.5,222.0/161.0/59.0,3.5,"Metal, clay, cement and sand",,,0,,,,,0,,,,,0,,,27.9,27.9 - 27.9,1,2014.0,Charcoal,8.1,8.1 - 8.1,1,2014.0,Charcoal,0.2,0.2 - 0.2,1,2014.0,Charcoal,0.0,0 - 0,1,2014.0,Charcoal,37.1,37.1 - 37.1,1,2014.0,Charcoal,1.0,15.0,8.0,5.7,6.5,6.1,,,,,,,,,,27.9,27.9,27.9,8.1,8.1,8.1,0.2,0.2,0.2,0.0,0.0,0.0,37.1,37.1,37.1
Small Natural Draft Sunken Pot Rocket Stove,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,3.0,,,,,3.0,Flat bottom,7.0,3.0-9.0,Any food that can be cooked in a pot at low or high power.,25.0-30.0,660.0/420.0/2160.0,7.2,,,,0,,,,,0,,,,,0,,,2.2,2.2 - 2.2,1,2014.0,Wood,152.2,152.2 - 152.2,1,2014.0,Wood,0.1,0.1 - 0.1,1,2014.0,Wood,1.7,1.7 - 1.7,1,2014.0,Wood,49.7,49.7 - 49.7,1,2014.0,Wood,3.0,9.0,6.0,25.0,30.0,27.5,,,,,,,,,,2.2,2.2,2.2,152.2,152.2,152.2,0.1,0.1,0.1,1.7,1.7,1.7,49.7,49.7,49.7
LPG Stove Télia n°2,Sodigaz,http://www.sodigaz.com/,3.0,,,,,6.0,Round bottom,,1.0-8.0,All traditional food,45.0-55.0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,49.2,49.2 - 49.2,1,2014.0,Liquefied Petroleum Gas (LPG),1.0,8.0,4.5,45.0,55.0,50.0,,,,,,,,,,,,,,,,,,,,,,49.2,49.2,49.2
Envirofit CH-2200,Envirofit International,http://www.envirofit.org/,3.0,,,,,,,,,,,229.0/313.0/154.0,2.3,,,,0,,,,,0,,,,,0,,,12.9,12.9 - 12.9,1,2013.0,Charcoal,,,0,,,0.1,0.1 - 0.1,1,2013.0,Charcoal,,,0,,,42.3,42.3 - 42.3,1,2013.0,Charcoal,,,,,,,,,,,,,,,,12.9,12.9,12.9,,,,0.1,0.1,0.1,,,,42.3,42.3,42.3
