stove_details_name,details_manu,details_web,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,stove_feed_min,stove_feed_max,stove_feed_average,stove_price_min,stove_price_max,stove_price_average,iso_co_sd_min,iso_co_sd_max,iso_co_sd_average,iso_pm_sd_min,iso_pm_sd_max,iso_pm_sd_average,iso_eff_char_sd_min,iso_eff_char_sd_max,iso_eff_char_sd_average,iwa_co_sd_min,iwa_co_sd_max,iwa_co_sd_average,iwa_pm_sd_min,iwa_pm_sd_max,iwa_pm_sd_average,iwa_co_low_sd_min,iwa_co_low_sd_max,iwa_co_low_sd_average,iwa_pm_low_sd_min,iwa_pm_low_sd_max,iwa_pm_low_sd_average,iwa_eff_sd_min,iwa_eff_sd_max,iwa_eff_sd_average
Envirofit CH-5200,Envirofit International,http://www.envirofit.org/,3.0,,,,,,,,,,,300.0/350.0/162.0,3.4,,,,0,,,,,0,,,,,0,,,15.7,15.7 - 15.7,1,2012.0,Charcoal,,,0,,,0.1,0.1 - 0.1,1,2012.0,Charcoal,,,0,,,36.1,36.1 - 36.1,1,2012.0,Charcoal,,,,,,,,,,,,,,,,15.7,15.7,15.7,,,,0.1,0.1,0.1,,,,36.1,36.1,36.1
kuniokoa™,Burn Manufacturing,http://www.burnmanufacturing.com/,2.0,3.0,,,2.0,3.0,Both,7.0,8.0-12.0,"ugali, rice, githeri, veggies, chapatti, lentils, beans, tea, etc.",,nan/280.0/320.0,3.7,,,,0,,,,,0,,,,,0,,,1.9,1.9 - 1.9,1,2017.0,Wood,103.9,103.9 - 103.9,1,2017.0,Wood,0.0,0 - 0,1,2017.0,Wood,1.4,1.4 - 1.4,1,2017.0,Wood,40.0,40 - 40,1,2017.0,Wood,8.0,12.0,10.0,,,,,,,,,,,,,1.9,1.9,1.9,103.9,103.9,103.9,0.0,0.0,0.0,1.4,1.4,1.4,40.0,40.0,40.0
BioLite HomeStove,BioLite LLC,http://www.biolitestove.com/,2.0,,,,2.0,5.0,Both,10.0,5.0-10.0,"India: A wide range of North and South Indian dishes, including roti, rice, dal, lentils, potato ; Sub-Saharan Africa: Rice, beans, corn meal (posho / uguali/ fufu), Millet (kalo), plantain, green banana (matoke), potato, sweet potato, cassava",40.0-70.0,270.0/270.0/310.0,8.0,,,,0,,,,,0,,,,,0,,,1.0,01-ene,1,2015.0,Wood,155.0,155 - 155,1,2015.0,Wood,0.1,0.1 - 0.1,1,2015.0,Wood,1.4,1.4 - 1.4,1,2015.0,Wood,33.0,33 - 33,1,2015.0,Wood,5.0,10.0,7.5,40.0,70.0,55.0,,,,,,,,,,1.0,,1.0,155.0,155.0,155.0,0.1,0.1,0.1,1.4,1.4,1.4,33.0,33.0,33.0
Prakti Single Burner Charcoal Stove,Prakti Design,http://praktidesign.com/,2.0,3.0,,,,4.0,Both,10.0,6.0-12.0,"Rice, dough, fish, meat, anything!",40.0-50.0,250.0/250.0/190.0,4.8,"A screwdriver, a rivet gun, a table!",,,0,,,,,0,,,,,0,,,6.8,6.8 - 6.8,1,2014.0,Charcoal,16.0,16 - 16,1,2014.0,Charcoal,0.1,0.1 - 0.1,1,2014.0,Charcoal,0.0,0 - 0,1,2014.0,Charcoal,33.1,33.1 - 33.1,1,2014.0,Charcoal,6.0,12.0,9.0,40.0,50.0,45.0,,,,,,,,,,6.8,6.8,6.8,16.0,16.0,16.0,0.1,0.1,0.1,0.0,0.0,0.0,33.1,33.1,33.1
Prime Square Fuelwood Regular,Prime Cookstoves,http://www.primestoves.com/,2.0,,,,2.0,5.0,Both,50.0,4.0-6.0,"Wok, stew, fried foods",25.0-45.0,280.0/280.0/360.0,3.5,,,,0,,,,,0,,,,,0,,,4.1,4.1 - 4.1,1,2014.0,Wood,211.0,211 - 211,1,2014.0,Wood,0.0,0 - 0,1,2014.0,Wood,1.8,1.8 - 1.8,1,2014.0,Wood,34.1,34.1 - 34.1,1,2014.0,Wood,4.0,6.0,5.0,25.0,45.0,35.0,,,,,,,,,,4.1,4.1,4.1,211.0,211.0,211.0,0.0,0.0,0.0,1.8,1.8,1.8,34.1,34.1,34.1
Augusta,Locally manufactured,,2.0,3.0,,,1.0,2.0,Both,10.0,3.0-10.0,Boiled,40.0-45.0,400.0/280.0/380.0,3.5,,,,0,,,,,0,,,,,0,,,8.3,8.3 - 8.3,1,2016.0,Wood,352.1,352.1 - 352.1,1,2016.0,Wood,0.1,0.1 - 0.1,1,2016.0,Wood,2.0,02-feb,1,2016.0,Wood,32.9,32.9 - 32.9,1,2016.0,Wood,3.0,10.0,6.5,40.0,45.0,42.5,,,,,,,,,,8.3,8.3,8.3,352.1,352.1,352.1,0.1,0.1,0.1,2.0,,2.0,32.9,32.9,32.9
Prime Square Granular Regular,Prime Cookstoves,http://www.primestoves.com/,2.0,,,,1.0,5.0,Both,50.0,4.0-6.0,"Wok, stew, fried foods",25.0-45.0,280.0/280.0/360.0,3.5,,,,0,,,,,0,,,,,0,,,7.0,07-jul,1,2014.0,Pellets,274.0,274 - 274,1,2014.0,Pellets,0.0,0 - 0,1,2014.0,Pellets,1.4,1.4 - 1.4,1,2014.0,Pellets,42.2,42.2 - 42.2,1,2014.0,Pellets,4.0,6.0,5.0,25.0,45.0,35.0,,,,,,,,,,7.0,,7.0,274.0,274.0,274.0,0.0,0.0,0.0,1.4,1.4,1.4,42.2,42.2,42.2
StoveTec GreenFire,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,2.0,,,,0.0,,,,,,,273.0/273.0/286.0,,,,,0,,,,,0,,,,,0,,,5.6,4.3 - 6.3,3,2012.0,Wood,375.5,350.5 - 399.5,3,2012.0,Wood,0.1,0.1 - 0.1,3,2012.0,Wood,3.7,2.7 - 5.6,3,2012.0,Wood,35.3,34.3 - 36.1,3,2012.0,Wood,,,,,,,,,,,,,,,,4.3,6.3,5.3,350.5,399.5,375.0,0.1,0.1,0.1,2.7,5.6,4.15,34.3,36.1,35.2
Malena,Locally manufactured,,2.0,3.0,,,4.0,5.0,Both,10.0,1.0-5.0,boiling and fried food,50.0-70.0,900.0/600.0/800.0,800.0,"Improved clay mix, bricks, local materials for molds like empty oil drums, big bags, sacks and cardboard",,,0,,,,,0,,,,,0,,,12.2,12.2 - 12.2,1,2015.0,Wood,61.1,61.1 - 61.1,1,2015.0,Wood,0.1,0.1 - 0.1,1,2015.0,Wood,0.3,0.3 - 0.3,1,2015.0,Wood,0.3,0.3 - 0.3,1,2015.0,Wood,1.0,5.0,3.0,50.0,70.0,60.0,,,,,,,,,,12.2,12.2,12.2,61.1,61.1,61.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3
GAMA1411,"Gamadaric, Lda",,2.0,,,,3.0,6.0,Both,15.0,,,60.0-80.0,350.0/600.0/320.0,20.0,,,,0,,,,,0,,,,,0,,,13.0,13 - 13,1,2015.0,Wood,391.1,391.1 - 391.1,1,2015.0,Wood,0.0,0 - 0,1,2015.0,Wood,6.1,6.1 - 6.1,1,2015.0,Wood,35.0,35 - 35,1,2015.0,Wood,,,,60.0,80.0,70.0,,,,,,,,,,13.0,13.0,13.0,391.1,391.1,391.1,0.0,0.0,0.0,6.1,6.1,6.1,35.0,35.0,35.0
Obama Stove,Locally manufactured,,2.0,3.0,,,1.0,3.0,Both,,8,,6,,8.0,,,,0,,,,,0,,,,,0,,,13.3,13.3 - 13.3,1,2015.0,Charcoal,86.3,86.3 - 86.3,1,2015.0,Charcoal,0.0,0 - 0,1,2015.0,Charcoal,0.2,0.2 - 0.2,1,2015.0,Charcoal,34.0,34 - 34,1,2015.0,Charcoal,8.0,,8.0,6.0,,6.0,,,,,,,,,,13.3,13.3,13.3,86.3,86.3,86.3,0.0,0.0,0.0,0.2,0.2,0.2,34.0,34.0,34.0
SuperSaver Wood GL (M-5000),Envirofit International,http://www.envirofit.org/,2.0,3.0,,,1.0,,,,,,,320.0/320.0/280.0,4.2,,,,0,,,,,0,,,,,0,,,3.2,2.3 - 4.1,3,2016.0,Wood,559.7,429.2 - 690.2,2,2016.0,Wood,0.0,0 - 0.1,2,2016.0,Wood,1.9,0.7 - 3,2,2016.0,Wood,34.6,29.7 - 38.8,3,2016.0,Wood,,,,,,,,,,,,,,,,2.3,4.1,3.1999999999999997,429.2,690.2,559.7,0.0,0.1,0.05,0.7,3.0,1.85,29.7,38.8,34.25
SmartSaver Wood (Econofire),Envirofit International,http://www.envirofit.org/,2.0,3.0,,,1.0,,Both,,,,,355.0/400.0/255.0,2.5,,,,0,,,,,0,,,,,0,,,5.6,5.6 - 5.6,1,2014.0,Wood,736.0,736 - 736,1,2014.0,Wood,0.1,0.1 - 0.1,1,2014.0,Wood,3.5,3.5 - 3.5,1,2014.0,Wood,30.2,30.2 - 30.2,1,2014.0,Wood,,,,,,,,,,,,,,,,5.6,5.6,5.6,736.0,736.0,736.0,0.1,0.1,0.1,3.5,3.5,3.5,30.2,30.2,30.2
Berkeley-Darfur Stove V.14,Potential Energy,http://www.potentialenergy.org/,2.0,,,,1.0,5.0,Both,15.0,4.0-10.0,"Rice, beans, banana, potatoes, meat, porridge, sauces, flat bread tea/coffee",25.0-35.0,370.0/380.0/310.0,4.5,Rivet guns and pliers,,,0,,,,,0,,,,,0,,,6.7,5.2 - 8.2,2,2012.0,Wood,443.8,276.5 - 611,2,2012.0,Wood,0.1,0.1 - 0.1,2,2012.0,Wood,4.6,3.4 - 5.9,2,2012.0,Wood,29.6,14 - 37.4,3,2012.0,Wood,4.0,10.0,7.0,25.0,35.0,30.0,,,,,,,,,,5.2,8.2,6.699999999999999,276.5,611.0,443.75,0.1,0.1,0.1,3.4,5.9,4.65,14.0,37.4,25.7
Philips HD4008,Philips,http://www.philips.com/,2.0,,,,0.0,,,,,,31.0-31.0,310.0/310.0/320.0,,,,,0,,,,,0,,,,,0,,,7.6,5.2 - 10.1,2,2012.0,Wood,593.3,485 - 701.5,2,2012.0,Wood,0.1,0 - 0.1,2,2012.0,Wood,4.2,2.6 - 5.8,2,2012.0,Wood,34.0,33.5 - 34.4,2,2012.0,Wood,,,,31.0,31.0,31.0,,,,,,,,,,5.2,10.1,7.65,485.0,701.5,593.25,0.0,0.1,0.05,2.6,5.8,4.2,33.5,34.4,33.95
Oorja,First Energy Private Limited,http://www.firstenergy.in/,2.0,,,,3.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,1.9,1.9 - 2,2,2012.0,Pellets,149.6,74.7 - 224.5,2,2012.0,Pellets,0.0,0 - 0.1,2,2012.0,Pellets,1.9,1.2 - 2.6,2,2012.0,Pellets,33.0,31.3 - 34.7,2,2012.0,Pellets,,,,,,,,,,,,,,,,1.9,2.0,1.95,74.7,224.5,149.6,0.0,0.1,0.05,1.2,2.6,1.9,31.3,34.7,33.0
Musa Raymond Stove,Musa Raymond,,2.0,,,,1.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,26.9,26.9 - 26.9,1,2014.0,Charcoal,0.1,0.1 - 0.1,1,2014.0,Charcoal,0.1,0.1 - 0.1,1,2014.0,Charcoal,,,0,,,27.9,27.9 - 27.9,1,2014.0,Charcoal,,,,,,,,,,,,,,,,26.9,26.9,26.9,0.1,0.1,0.1,0.1,0.1,0.1,,,,27.9,27.9,27.9
SmartSaver Charcoal,Envirofit International,http://www.envirofit.org/,2.0,,,,1.0,3.0,Both,18.0,6.0-12.0,All,,380.0/420.0/270.0,3.7,Screwdriver,,,0,,,,,0,,,,,0,,,19.2,18.1 - 20.2,2,2016.0,Charcoal,167.1,160 - 174.1,2,2016.0,Charcoal,0.1,0 - 0.2,2,2016.0,Charcoal,0.0,0 - 0.1,2,2016.0,Charcoal,28.5,26 - 31,2,2016.0,Charcoal,6.0,12.0,9.0,,,,,,,,,,,,,18.1,20.2,19.15,160.0,174.1,167.05,0.0,0.2,0.1,0.0,0.1,0.05,26.0,31.0,28.5
SuperSaver Charcoal Stove (CH-5300),Envirofit International,http://www.envirofit.org/,2.0,3.0,,,0.0,,Both,,1.0-15.0,"Rice, Ugali, Banku",,366.0/315.0/260.0,5.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1.0,15.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Gyapa,"Gyapa Enterprises, Relief International",http://www.gyapa.com/,2.0,,,,0.0,3.0,Both,,1.0-50.0,"banku, fufu, stews, rice",7,200.0/200.0/350.0,5.0,,,,0,,,,,0,,,,,0,,,40.6,36.8 - 44.3,2,2012.0,Charcoal,634.0,476.5 - 791.5,2,2012.0,Charcoal,0.3,0.2 - 0.3,2,2012.0,Charcoal,1.8,1.3 - 2.3,2,2012.0,Charcoal,26.8,26.5 - 27,2,2012.0,Charcoal,1.0,50.0,25.5,7.0,,7.0,,,,,,,,,,36.8,44.3,40.55,476.5,791.5,634.0,0.2,0.3,0.25,1.3,2.3,1.7999999999999998,26.5,27.0,26.75
Kenya Uhai,Locally manufactured,,2.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,21.5,18.3 - 24.8,2,2012.0,Charcoal,314.0,308.5 - 319.5,2,2012.0,Charcoal,0.1,0.1 - 0.1,2,2012.0,Charcoal,0.4,0.2 - 0.6,2,2012.0,Charcoal,29.6,29.1 - 30.1,2,2012.0,Charcoal,,,,,,,,,,,,,,,,18.3,24.8,21.55,308.5,319.5,314.0,0.1,0.1,0.1,0.2,0.6,0.4,29.1,30.1,29.6
Toyola,Locally manufactured,,2.0,,,,0.0,,,,,Ugali,05-oct,270.0/270.0/nan,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
VITA,,,2.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,10.0,10-oct,1,2009.0,Wood,1298.4,1298.4 - 1298.4,1,2009.0,Wood,0.2,0.2 - 0.2,1,2009.0,Wood,7.2,7.2 - 7.2,1,2009.0,Wood,28.8,28.8 - 28.8,1,2009.0,Wood,,,,,,,,,,,,,,,,10.0,,10.0,1298.4,1298.4,1298.4,0.2,0.2,0.2,7.2,7.2,7.2,28.8,28.8,28.8
CookClean CookMate,CookClean Ghana Ltd,http://www.cookclean.net/,2.0,,,,,4.0,Flat bottom,25.0,4.0-10.0,all types,6.0-20.0,,7.0,,,,0,,,,,0,,,,,0,,,31.7,31.7 - 31.7,1,2015.0,Charcoal,440337.0,440337 - 440337,1,2015.0,Charcoal,0.1,0.1 - 0.1,1,2015.0,Charcoal,1219.3,1219.3 - 1219.3,1,2015.0,Charcoal,25.7,25.7 - 25.7,1,2015.0,Charcoal,4.0,10.0,7.0,6.0,20.0,13.0,,,,,,,,,,31.7,31.7,31.7,440337.0,440337.0,440337.0,0.1,0.1,0.1,1219.3,1219.3,1219.3,25.7,25.7,25.7
Chitetezo,Nkhoma Mountain Conservation,,2.0,3.0,,,,4.0,Both,20.0,1.0-12.0,"Nsima / nshima / sadza, relish, beans & fish.",2.0-4.0,300.0/300.0/265.0,8.0,"Clay, fuel (in fuel efficient kiln), and water. Mechanical mold highly recommended for standardization and improved productivity.",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,31.0,29 - 33,2,2012.0,Wood,1.0,12.0,6.5,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,29.0,33.0,31.0
SCODE SP-FL micro gasifier Concrete body,Sustainable Community Development Services (SCODE),http://www.scode.co.ke,2.0,,,,,5.0,Both,40.0,2.0-80.0,Those that can be boiled and fried,50.0-80.0,360.0/300.0/240.0,30.0,"Whytheat K refractory cement, Portland cement, Vermiculite, speed fan with its regulator and skill",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,30.4,30.4 - 30.4,1,2014.0,Wood,2.0,80.0,41.0,50.0,80.0,65.0,,,,,,,,,,,,,,,,,,,,,,30.4,30.4,30.4
Elegance 2015,"Elegance Company Ltd. for Research & Development, Manufacturing and Services",http://ccspin.org/,1.0,,,,3.0,4.0,Both,,4.0-10.0,All types of food,17.0-27.0,nan/220.0/360.0,1.2,"Stainless steel, rock wool",,,0,,,,,0,,,,,0,,,2.3,2.3 - 2.3,1,,Wood,16.0,16 - 16,1,,Wood,0.1,0.1 - 0.1,1,,Wood,1.6,1.6 - 1.6,1,,Wood,35.4,35.4 - 35.4,1,,Wood,4.0,10.0,7.0,17.0,27.0,22.0,,,,,,,,,,2.3,2.3,2.3,16.0,16.0,16.0,0.1,0.1,0.1,1.6,1.6,1.6,35.4,35.4,35.4
Mayon Turbo,REAP-Canada,http://www.reap-canada.com/,1.0,,,,1.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,13.0,13 - 13,2,2012.0,Crop residues,460.8,443 - 478.5,2,2012.0,Crop residues,0.1,0.1 - 0.1,2,2012.0,Crop residues,7.9,7.5 - 8.4,2,2012.0,Crop residues,28.6,28.4 - 28.8,2,2012.0,Crop residues,,,,,,,,,,,,,,,,13.0,13.0,13.0,443.0,478.5,460.75,0.1,0.1,0.1,7.5,8.4,7.95,28.4,28.8,28.6
Canarumwe,Locally manufactured,,1.0,,,,1.0,5.0,Flat bottom,20.0,15.0-50.0,Most African dishes,3.0-4.0,190.0/300.0/210.0,4.0,Pottery clay Sand Water,,,0,,,,,0,,,,,0,,,10.8,10.8 - 10.8,1,2014.0,Wood,131.2,131.2 - 131.2,1,2014.0,Wood,0.2,0.2 - 0.2,1,2014.0,Wood,1.4,1.4 - 1.4,1,2014.0,Wood,26.3,26.3 - 26.3,1,2014.0,Wood,15.0,50.0,32.5,3.0,4.0,3.5,,,,,,,,,,10.8,10.8,10.8,131.2,131.2,131.2,0.2,0.2,0.2,1.4,1.4,1.4,26.3,26.3,26.3
"Jiko, Ceramic",,,1.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,37.0,35.5 - 38.5,2,2012.0,Charcoal,636.3,615 - 657.5,2,2012.0,Charcoal,0.1,0.1 - 0.1,2,2012.0,Charcoal,0.7,0.6 - 0.9,2,2012.0,Charcoal,24.5,23.6 - 25.3,2,2012.0,Charcoal,,,,,,,,,,,,,,,,35.5,38.5,37.0,615.0,657.5,636.25,0.1,0.1,0.1,0.6,0.9,0.75,23.6,25.3,24.450000000000003
Recho Plop Plop+,International Lifeline Fund,http://www.lifelinefund.org/,1.0,,,,0.0,2.0,Both,9.0,2.0-6.0,"rice, bean, puree, vegetable sauce",13.0-25.0,810.0/810.0/205.0,2.77,"metal shears, hammer, flanger, rail, rivets, nails, metal tags, metal",,,0,,,,,0,,,,,0,,,33.2,22.1 - 44.4,2,,"Charcoal,Briquettes",380.0,333.6 - 426.3,2,,"Charcoal,Briquettes",0.1,0 - 0.1,2,,"Charcoal,Briquettes",0.1,0.1 - 0.2,2,,"Charcoal,Briquettes",25.9,24.4 - 27.3,2,,"Charcoal,Briquettes",2.0,6.0,4.0,13.0,25.0,19.0,,,,,,,,,,22.1,44.4,33.25,333.6,426.3,379.95000000000005,0.0,0.1,0.05,0.1,0.2,0.15000000000000002,24.4,27.3,25.85
New Lao Stove,"GERES - Groupe Energies Renouvelables, Environnement et Solidarités",http://www.geres.eu/,1.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,28.6,21.7 - 35.5,2,2012.0,Charcoal,625.2,507 - 743.3,2,2012.0,Charcoal,0.2,0.2 - 0.2,1,2012.0,Charcoal,1.0,01-ene,1,2012.0,Charcoal,24.3,23.8 - 24.8,2,2012.0,Charcoal,,,,,,,,,,,,,,,,21.7,35.5,28.6,507.0,743.3,625.15,0.2,0.2,0.2,1.0,,1.0,23.8,24.8,24.3
Traditional Round Haitian Cookstove,,,1.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,35.1,34.8 - 35.3,2,,"Briquettes,Charcoal",449.3,442.9 - 455.6,2,,"Briquettes,Charcoal",0.3,0.2 - 0.5,2,,"Briquettes,Charcoal",1.0,0.3 - 1.7,2,,"Briquettes,Charcoal",19.5,18.1 - 20.9,2,,"Briquettes,Charcoal",,,,,,,,,,,,,,,,34.8,35.3,35.05,442.9,455.6,449.25,0.2,0.5,0.35,0.3,1.7,1.0,18.1,20.9,19.5
kolpot fotonkante,Locally manufactured,,1.0,,,,,4.0,Both,40.0,nan-10.0,,23,440.0/440.0/330.0,12.0,Steel sheets,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,26.0,26 - 26,1,2016.0,Wood,,10.0,10.0,23.0,,23.0,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,26.0
SCODE SP-FL micro gasifier portable,Sustainable Community Development Services (SCODE),http://www.scode.co.ke,1.0,,,,,5.0,Both,40.0,1.0-80.0,Those to be boiled and fried,50.0-80.0,,,"Whytheat K refractory cement, gauge 18 MS metal sheets, electric speed fan of up to 32cfm (3watts) and its regulators, Portland cement, vermiculite, and skill",,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,30.4,30.4 - 30.4,1,2014.0,Wood,1.0,80.0,40.5,50.0,80.0,65.0,,,,,,,,,,,,,,,,,,,,,,30.4,30.4,30.4
Bio Moto,International Research & Development Africa Ltd,http://energymap-scu.org/international-research-and-development-africa-ltd-2/,0.0,2.0,,,4.0,25.0,Both,20.0,1.0-10.0,"Maize, beans, meat, pan roasts, stews, spaghetti, rice, etc.",40.0-48.0,240.0/240.0/180.0,3.125,"Stainless steel alloys, fuel absorbing matrix, CNC production tools, etc.",,,0,,,,,0,,,,,0,,,0.1,0.1 - 0.1,1,2014.0,Ethanol/alcohol,6.2,6.2 - 6.2,1,2014.0,Ethanol/alcohol,0.0,0 - 0,1,2014.0,Ethanol/alcohol,0.1,0.1 - 0.1,1,2014.0,Ethanol/alcohol,39.5,39.5 - 39.5,1,2014.0,Ethanol/alcohol,1.0,10.0,5.5,40.0,48.0,44.0,,,,,,,,,,0.1,0.1,0.1,6.2,6.2,6.2,0.0,0.0,0.0,0.1,0.1,0.1,39.5,39.5,39.5
THX-T14,Green Generation JSC,http://www.greengenstove.com,0.0,2.0,,,2.0,2.0,Both,25.0,4.0-8.0,"meat, vegetable, water boiling",5.0-12.0,180.0/180.0/300.0,2.6,Sheet metal or stainless steel,,,0,,,,,0,,,,,0,,,6.0,06-jun,1,2016.0,Wood,64.4,64.4 - 64.4,1,2016.0,Wood,0.1,0.1 - 0.1,1,2016.0,Wood,0.7,0.7 - 0.7,1,2016.0,Wood,26.4,26.4 - 26.4,1,2016.0,Wood,4.0,8.0,6.0,5.0,12.0,8.5,,,,,,,,,,6.0,,6.0,64.4,64.4,64.4,0.1,0.1,0.1,0.7,0.7,0.7,26.4,26.4,26.4
THX F11,Green Generation JSC,http://www.greengenstove.com,0.0,,,,2.0,2.0,Both,20.0,4.0-8.0,"rice, meat, vegetable, boiling water",18.0-22.0,280.0/200.0/230.0,3.5,,,,0,,,,,0,,,,,0,,,6.0,06-jun,1,,Wood,64.4,64.4 - 64.4,1,,Wood,0.1,0.1 - 0.1,1,,Wood,0.7,0.7 - 0.7,1,,Wood,26.4,26.4 - 26.4,1,,Wood,4.0,8.0,6.0,18.0,22.0,20.0,,,,,,,,,,6.0,,6.0,64.4,64.4,64.4,0.1,0.1,0.1,0.7,0.7,0.7,26.4,26.4,26.4
Wisdom Jiko - M2 model (no longer on the market),Wisdom Innovations,http://www.wisdomstoves.org/,0.0,2.0,,,1.0,5.0,Both,15.0,4.0-10.0,Githeri - Boiled maize and beans,35.0-39.0,280.0/280.0/430.0,8.0,"Galvanized sheets, mild steel, clay ceramic, stainless steel",,,0,,,,,0,,,,,0,,,1.0,01-ene,1,,Wood,246.0,246 - 246,1,,Wood,0.1,0.1 - 0.1,1,,Wood,0.3,0.3 - 0.3,1,,Wood,26.7,26.7 - 26.7,1,,Wood,4.0,10.0,7.0,35.0,39.0,37.0,,,,,,,,,,1.0,,1.0,246.0,246.0,246.0,0.1,0.1,0.1,0.3,0.3,0.3,26.7,26.7,26.7
Upesi Portable,,,0.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,14.7,10.9 - 18.4,2,2012.0,Wood,1684.5,914 - 2455,2,2012.0,Wood,0.1,0.1 - 0.2,2,2012.0,Wood,11.7,6.3 - 17.2,2,2012.0,Wood,22.0,20.7 - 23.2,2,2012.0,Wood,,,,,,,,,,,,,,,,10.9,18.4,14.649999999999999,914.0,2455.0,1684.5,0.1,0.2,0.15000000000000002,6.3,17.2,11.75,20.7,23.2,21.95
Onil,HELPS International- Mexico,http://helpsinternational.com/,0.0,4.0,,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,5.7,5.7 - 5.7,1,2012.0,Wood,793.0,793 - 793,1,2012.0,Wood,0.1,0.1 - 0.1,1,2012.0,Wood,4.8,4.8 - 4.8,1,2012.0,Wood,12.8,12.8 - 12.8,1,2012.0,Wood,,,,,,,,,,,,,,,,5.7,5.7,5.7,793.0,793.0,793.0,0.1,0.1,0.1,4.8,4.8,4.8,12.8,12.8,12.8
Belonio,,,0.0,,,,1.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,18.9,16 - 21.8,2,2012.0,Crop residues,205.8,191 - 220.5,2,2012.0,Crop residues,0.1,0.1 - 0.2,2,2012.0,Crop residues,2.7,2.2 - 3.1,2,2012.0,Crop residues,44.8,43.4 - 46.1,2,2012.0,Crop residues,,,,,,,,,,,,,,,,16.0,21.8,18.9,191.0,220.5,205.75,0.1,0.2,0.15000000000000002,2.2,3.1,2.6500000000000004,43.4,46.1,44.75
Sampada,Appropriate Rural Technology Institute (ARTI),http://www.arti-india.org/,0.0,,,,0.0,,Both,,,,38.0-43.0,240.0/240.0/365.0,,,,,0,,,,,0,,,,,0,,,9.9,8.9 - 10.8,2,2012.0,Wood,505.0,387.5 - 622.5,2,2012.0,Wood,0.1,0.1 - 0.1,2,2012.0,Wood,7.0,6.6 - 7.3,2,2012.0,Wood,27.4,27.2 - 27.6,2,2012.0,Wood,,,,38.0,43.0,40.5,,,,,,,,,,8.9,10.8,9.850000000000001,387.5,622.5,505.0,0.1,0.1,0.1,6.6,7.3,6.949999999999999,27.2,27.6,27.4
"Jiko, Metal",,,0.0,,,,0.0,,,,,,,,,,,,0,,,,,0,,,,,0,,,30.8,25.7 - 35.9,2,2012.0,Charcoal,609.8,575.5 - 644,2,2012.0,Charcoal,0.1,0.1 - 0.1,2,2012.0,Charcoal,0.5,0.3 - 0.7,2,2012.0,Charcoal,24.3,24.3 - 24.3,2,2012.0,Charcoal,,,,,,,,,,,,,,,,25.7,35.9,30.799999999999997,575.5,644.0,609.75,0.1,0.1,0.1,0.3,0.7,0.5,24.3,24.3,24.3
